SCBGE11RXBLA13261,219800,215000,2018-01-01,2018-01-01,2017,Havana,Beluga,550,1,104
SCBGE11RXBLA13264,219800,218000,2018-01-01,2018-01-03,2018,Havana,Magnolia - Dark Stained Burr Walnut,550,1,104
SCBGE11RXBLA13265,219800,215000,2018-01-01,2018-01-04,2018,Moonbeam,Magnolia - Chestnut,550,1,104
SCBGE11RXBLA13266,219800,215282,2018-01-01,2018-01-05,2018,Windsor Blue,Magnolia - Chestnut,550,1,104
SCBGE11RXBLA13267,219800,220567,2018-01-01,2018-01-01,2018,Windsor Blue,Beluga,550,1,104
SCBGE11RXBLA13268,219800,220000,2018-01-01,2018-01-01,2018,St James Red (Solid),Beluga,550,1,104
SCBGE11RXBLA13269,219800,215930,2018-01-01,2018-01-01,2018,Windsor Blue,Magnolia - Dark Stained Burr Walnut,550,1,104
SCBGE11RXBLA13270,219800,215678,2018-01-01,2018-01-01,2018,Blue Crystal,Magnolia - Dark Stained Burr Walnut,550,1,104
SCBGE11RXBLA13274,219800,220846,2018-04-25,2018-04-25,2018,Blue Crystal,Magnolia - Dark Stained Burr Walnut,550,1,104
SCBGE21RXBLA14318,210000,210000,2018-04-25,2018-04-30,2018,St James Red (Solid),Beluga,551,1,104
SCBGE21RXBLA14319,210000,210384,2018-04-25,2018-04-30,2018,Moonbeam,Magnolia - Chestnut,551,1,104
SCBGE21RXBLA14320,210000,209816,2018-04-25,2018-05-02,2018,Windsor Blue,Linen,551,1,104
SCBGE21RXBLA14324,210000,212000,2018-04-25,2018-04-30,2018,St James Red (Solid),Magnolia - Chestnut,551,1,104
SCBGE21RXBLA14325,210000,222120,2018-04-25,2018-04-30,2018,Granite,Magnolia - Chestnut,551,1,104
SCBGE41RXBLA17317,240500,266111,2018-05-20,2018-05-20,2018,Blue Crystal,Beluga,703,1,104
SCBGE41RXBLA17318,240500,245000,2018-05-20,2018-05-25,2018,Blue Crystal,Beluga,703,1,104
SCBGE41RXBLA17319,240500,247777,2018-05-20,2018-05-20,2018,St James Red (Solid),Beluga,703,1,104
SCBGE61RXBLA15327,202000,202000,2018-03-01,2018-03-01,2018,Windsor Blue,Beluga,552,1,104
SCBGE61RXBLA15328,202000,202500,2018-03-01,2018-03-01,2018,Blue Crystal,Beluga,552,1,104
SCBGE61RXBLA15329,202000,202999,2018-03-01,2018-03-01,2018,Blue Crystal,Magnolia - Chestnut,552,1,104
SCBGE61RXBLA15330,202000,209999,2018-03-01,2018-03-01,2018,Windsor Blue,Magnolia - Dark Stained Burr Walnut,552,1,104
SCBGE61RXBLA15332,202000,201999,2018-03-01,2018-03-10,2018,Blue Crystal,Beluga,552,1,104
SCBGE61RXBLA15333,202000,202000,2018-03-01,2018-03-01,2018,Blue Crystal,Beluga,552,1,104
SCBGE61RXBLA15334,200000,201800,2018-03-01,2018-03-02,2018,Blue Crystal,Magnolia - Chestnut,552,1,104
SCBGE61RXBLA15335,200000,207000,2018-03-01,2018-03-01,2018,St James Red (Solid),Magnolia - Chestnut,552,1,104
